high,medium,low,listing_id
0.68,0.233,0.087,6875322
0.9,0.07,0.03,7133359
0.099,0.826,0.075,7193003
0.9555,0.0395,0.005,7055600
0.785,0.207,0.008,6932611
0.344,0.654,0.002,7168116
0.971,0.028,0.001,6924200
0.241,0.742,0.017,7044684
0.984,0.016,0.0,6897965
0.072,0.886,0.042,7230670
0.862,0.114,0.024,6968519
0.999,0.001,0.0,6977626
0.926,0.064,0.01,7224499
0.993,0.006,0.001,7027780
0.817,0.166,0.017,6991339
0.937,0.055,0.008,7144265
0.1726666666666667,0.771,0.056333333333333326,7002179
0.976,0.014,0.01,6882750
0.203,0.786,0.011,6978423
0.974,0.024,0.002,6855154
0.254,0.737,0.009,6881642
0.979,0.018,0.003,7219100
0.208,0.134,0.658,6992083
0.996,0.004,0.0,7220501
0.858,0.112,0.03,7200985
0.977,0.021,0.002,7135976
0.864,0.123,0.013,6885800
0.234,0.736,0.03,7127394
0.914,0.079,0.007,7162951
0.997,0.003,0.0,7163414
0.884,0.097,0.019,6929508
0.987,0.008,0.005,6837514
0.097,0.833,0.07,6973164
0.712,0.272,0.016,7021894
0.922,0.06266666666666668,0.015333333333333332,6975460
0.15,0.769,0.081,6825710
0.873,0.107,0.02,6869164
0.943,0.041,0.016,7000709
0.983,0.017,0.0,6846784
0.175,0.794,0.031,7010885
0.186,0.748,0.066,6959186
0.935,0.054,0.011,6946265
0.05982142857142856,0.904,0.03617857142857143,6925651
0.159,0.803,0.038,7058048
0.968,0.026,0.006,6818978
0.981,0.017,0.002,6880761
0.06,0.2565,0.6835,7173414
0.978,0.021,0.001,7214412
0.729,0.10222222222222223,0.16877777777777778,6991211
0.203,0.748,0.049,7045373
0.973,0.02,0.007,7186621
0.978,0.018,0.004,7048517
0.143,0.8143333333333332,0.04266666666666667,7170361
0.812,0.171,0.017,7223398
0.138,0.833,0.029,7092203
0.841,0.114,0.045,7195645
0.775,0.178,0.047,6913074
0.959,0.036,0.005,6972309
0.999,0.001,0.0,6973631
0.164,0.806,0.03,7126476
0.228,0.733,0.039,6934387
0.955,0.045,0.0,7115598
0.994,0.006,0.0,7015013
0.011,0.963,0.026,7076929
0.9405,0.048,0.0115,7022728
0.872,0.11,0.018,6910927
0.109,0.109,0.782,6878427
0.98,0.018,0.002,6864085
0.994,0.005,0.001,7215028
0.928,0.059,0.013,6969890
0.966,0.03,0.004,7164661
0.982,0.015,0.003,6827728
0.969,0.025,0.006,6932893
0.8803333333333334,0.09466666666666668,0.025,7022798
0.91,0.059,0.031,7224280
0.897,0.083,0.02,7029426
0.942,0.049,0.009,7205534
0.969,0.029,0.002,7061722
0.993,0.007,0.0,7035539
0.875,0.107,0.018,6959285
0.979,0.019,0.002,7095856
0.185,0.122,0.693,7116706
0.922,0.069,0.009,6879488
0.976,0.0165,0.0075,6887263
0.764,0.178,0.058,7061297
0.901,0.081,0.018,7197684
0.22,0.715,0.065,6971230
0.954,0.037,0.009,7172921
0.136,0.819,0.045,7052627
0.888,0.097,0.015,6941142
0.946,0.05,0.004,7214548
0.176,0.769,0.055,6933652
0.064,0.197,0.739,7079794
0.95,0.034,0.016,7221812
0.991,0.007,0.002,7053062
0.2505,0.726,0.0235,7208237
0.292,0.701,0.007,7004709
0.9646666666666668,0.028333333333333335,0.007,7224008
0.229,0.761,0.01,7028162
0.23566666666666666,0.7453333333333334,0.019,6815494
0.12575,0.20625,0.668,7091121
0.202,0.791,0.007,7115439
0.997,0.003,0.0,7002020
0.901,0.077,0.022,7026127
0.227,0.763,0.01,6879504
0.258,0.728,0.014,7218421
0.841,0.136,0.023,7099312
0.9443333333333334,0.05366666666666667,0.002,6964070
0.0665,0.1385,0.795,6960743
0.978,0.018,0.004,7220505
0.9646666666666667,0.02783333333333333,0.0075,6979657
0.932,0.051,0.017,6888417
0.1456666666666667,0.22133333333333335,0.633,7170045
0.995,0.005,0.0,6836305
0.82,0.16,0.02,6893223
0.815,0.12,0.065,7117023
0.109,0.221,0.67,7033221
0.909,0.08,0.011,7168954
0.966,0.022,0.012,7128076
0.948,0.05,0.002,6899024
0.721,0.221,0.058,7205556
0.168,0.783,0.049,7149520
0.99,0.01,0.0,6951997
0.103,0.818,0.079,6974873
0.906,0.082,0.012,7204372
0.966,0.025,0.009,6929364
0.032,0.045,0.923,6825719
0.993,0.006,0.001,6900466
0.164,0.131,0.705,6885742
0.955,0.04,0.005,7145876
0.8695,0.11,0.0205,7214639
0.076,0.8806666666666667,0.043333333333333335,7092694
0.6955,0.297,0.0075,7033663
0.895,0.09,0.015,6876207
0.987,0.012,0.001,7108266
0.984,0.015,0.001,6954751
0.909,0.082,0.009,7097639
0.117,0.127,0.756,6994615
0.955,0.042,0.003,7064527
0.88,0.107,0.013,7156760
0.91,0.076,0.014,7229627
0.2845,0.7075,0.008,6935719
0.28833333333333333,0.7046666666666667,0.007,7162645
0.129,0.852,0.019,6879056
0.914,0.076,0.01,7048589
0.982,0.014,0.004,6994375
0.132,0.15,0.718,7157065
0.9576666666666668,0.034333333333333334,0.008,7095922
0.9016666666666666,0.093,0.005333333333333333,7207931
0.214,0.773,0.013,7156568
0.125,0.804,0.071,6852746
0.987,0.013,0.0,6982605
0.843,0.119,0.038,6825120
0.099,0.849,0.052,6916033
0.897,0.085,0.018,6865667
0.978,0.019,0.003,7050347
0.881,0.106,0.013,7175727
0.986,0.011,0.003,7103909
0.936,0.056,0.008,7078171
0.091,0.149,0.76,7111344
0.837,0.118,0.045,7177986
0.737,0.2169,0.0461,6895024
0.153,0.77,0.077,7094484
0.942,0.057,0.001,7194014
0.814,0.179,0.007,7162723
0.298,0.028,0.674,6936259
0.874,0.121,0.005,7203728
0.12,0.807,0.073,6942662
0.09,0.092,0.818,6838697
0.047,0.877,0.076,7030776
0.129,0.789,0.082,7078228
0.16,0.815,0.025,6811973
0.874,0.1,0.026,6909762
0.975,0.02,0.005,6919773
0.88,0.101,0.019,7231322
0.091,0.254,0.655,7200323
0.982,0.013,0.005,7020691
0.952,0.041,0.007,6957846
0.73,0.169,0.101,6942180
0.238,0.753,0.009,6813847
0.89,0.076,0.034,6878391
0.851,0.134,0.015,7121373
0.893,0.078,0.029,7510966
0.09983333333333334,0.109,0.7911666666666666,7065543
0.297,0.696,0.007,6842206
0.949,0.05,0.001,6854567
0.809,0.182,0.009,7063715
1.0,0.0,0.0,6905904
0.881,0.097,0.022,7132576
0.7814,0.1636,0.055,6879739
0.981,0.019,0.0,6822384
0.962,0.026,0.012,6835388
0.923,0.063,0.014,7185849
0.7998,0.171,0.0292,6850200
0.304,0.681,0.015,7002119
0.711,0.21108333333333335,0.07791666666666668,6812870
0.131,0.794,0.075,7168077
0.907,0.077,0.016,7097850
0.356,0.627,0.017,6962061
0.9017999999999999,0.0772,0.021,6919997
0.185,0.793,0.022,6894979
0.85,0.107,0.043,7026543
0.933,0.058,0.009,7154744
0.966,0.028,0.006,7027636
0.972,0.024,0.004,6928535
0.846,0.129,0.025,7060191
0.863,0.131,0.006,7194845
0.987,0.013,0.0,7046792
0.915,0.075,0.01,7013355
0.858,0.14,0.002,6820643
0.096,0.181,0.723,7152520
0.972,0.026,0.002,6909334
0.867,0.102,0.031,6931636
0.268,0.713,0.019,6920076
0.95,0.045,0.005,6848468
0.802,0.125,0.073,6888755
0.935,0.06,0.005,6952522
0.959,0.032,0.009,7116250
0.816,0.16566666666666666,0.018333333333333333,6879782
0.943,0.049,0.008,7223150
0.943,0.05,0.007,6823639
0.977,0.023,0.0,6906510
0.183,0.777,0.04,7132216
0.853,0.087,0.06,6990255
0.987,0.009,0.004,6812493
0.196,0.7574166666666666,0.04658333333333334,7193554
0.112,0.868,0.02,7102663
0.977,0.016,0.007,6897548
0.972,0.024,0.004,7187428
0.933,0.06,0.007,7088929
0.186,0.779,0.035,7003737
0.316,0.665,0.019,7081733
0.8496666666666667,0.07033333333333334,0.08,6832159
0.899,0.087,0.014,7109399
0.948,0.036,0.016,6997505
0.991,0.004,0.005,7138448
0.244,0.126,0.63,7209675
0.9205,0.0675,0.012,7171005
0.984,0.016,0.0,6899259
0.279,0.699,0.022,7019651
0.981,0.014,0.005,6912405
0.951,0.041,0.008,7166267
0.18683333333333335,0.7282000000000001,0.08496666666666666,7161606
0.859,0.111,0.03,7117765
0.962,0.031,0.007,7007647
0.91,0.078,0.012,6906441
0.975,0.024,0.001,6960696
0.969,0.031,0.0,7166234
0.903,0.088,0.009,6911141
0.302,0.685,0.013,6825884
0.954,0.044,0.002,6855027
0.111,0.8679166666666667,0.021083333333333336,6980774
0.128,0.09,0.782,7227544
0.7557142857142858,0.12628571428571428,0.118,7051963
0.95685,0.036,0.00715,6941377
0.977,0.015,0.008,7017936
0.9865,0.0115,0.002,6973923
0.257,0.731,0.012,7145792
0.965,0.028,0.007,7006070
0.781,0.135,0.084,6957564
0.903,0.089,0.008,7216534
0.984,0.015,0.001,6961592
0.923,0.064,0.013,7195180
0.8705,0.1025,0.027,7155224
0.758,0.238,0.004,7175540
0.148,0.819,0.033,6933110
0.089,0.807,0.104,7120608
0.992,0.008,0.0,6836466
0.971,0.028,0.001,7108030
0.915,0.07,0.015,7124352
0.717,0.108,0.175,7044730
0.361,0.631,0.008,6993226
0.822,0.134,0.044,7172380
0.994,0.006,0.0,7101389
0.9286666666666668,0.06433333333333334,0.007,6947813
0.992,0.006,0.002,7046583
0.993,0.005,0.002,6863636
0.972,0.026,0.002,7225758
0.928,0.046,0.026,6934309
0.988,0.008,0.004,6929076
0.015,0.811,0.174,7135003
0.998,0.002,0.0,7207938
0.776,0.133,0.091,6920053
0.241,0.747,0.012,6866797
0.934,0.06,0.006,7058911
0.857,0.104,0.039,7043543
0.9,0.1,0.0,7153230
0.94,0.051,0.009,7179918
0.264,0.716,0.02,7140791
0.882,0.105,0.013,7004732
0.093,0.081,0.826,6865020
0.16233333333333333,0.8286666666666667,0.009,7176236
0.954,0.042,0.004,7053371
0.9,0.075,0.025,6825677
0.963,0.037,0.0,6864275
0.156,0.765,0.079,7094211
0.189,0.11,0.701,7105954
0.933,0.057,0.01,7144001
0.1025,0.209,0.6885,7088087
0.252,0.736,0.012,6922773
0.038,0.8434,0.11860000000000002,7221388
0.992,0.008,0.0,7156263
0.2045,0.7465,0.049,7072502
0.992,0.006,0.002,7120444
0.874,0.117,0.009,6987122
0.295,0.701,0.004,6964015
0.82875,0.053,0.11825,7022949
0.993,0.007,0.0,7231370
0.7375,0.087,0.1755,6852599
0.234,0.738,0.028,6983368
0.249,0.723,0.028,6940531
0.141,0.14975,0.70925,6850249
0.83,0.112,0.058,7223139
0.10433333333333333,0.753,0.1426666666666667,6879118
0.899,0.087,0.014,7191480
0.8886666666666667,0.10133333333333334,0.01,7129549
0.931,0.052,0.017,6909993
0.991,0.009,0.0,6999283
0.99,0.008,0.002,7106343
0.761,0.158,0.081,6978343
0.152,0.782,0.066,7181466
0.14425,0.794,0.06175,7050169
0.911,0.079,0.01,7005606
0.867,0.119,0.014,6856898
0.951,0.045,0.004,7098655
0.988,0.011,0.001,7192015
0.762,0.175,0.063,6885632
0.911,0.078,0.011,7007690
0.969,0.028,0.003,7205018
0.954,0.04,0.006,7152901
0.176,0.11158333333333333,0.7124166666666666,7186327
0.125,0.211,0.664,6833004
0.976,0.021,0.003,7127460
0.3476666666666667,0.6473333333333333,0.005,6974118
0.939,0.06,0.001,6988307
0.758,0.205,0.037,7144679
0.233,0.728,0.039,6930165
0.981,0.014,0.005,6914581
0.986,0.013,0.001,7144465
0.99,0.009,0.001,7046193
0.981,0.017,0.002,6923719
0.169,0.759,0.072,6888004
0.21975,0.74125,0.039,6971761
0.911,0.074,0.015,6823403
0.872,0.1,0.028,6968134
0.983,0.017,0.0,7036100
0.96,0.037,0.003,7137658
0.971,0.027,0.002,7139614
0.974,0.023,0.003,7219291
1.0,0.0,0.0,7059906
0.974,0.025,0.001,7188584
0.343,0.652,0.005,7126660
0.947,0.048,0.005,7145933
0.983,0.013,0.004,7231223
0.249,0.718,0.033,6881962
0.996,0.004,0.0,6818001
0.1535,0.17408333333333334,0.6724166666666667,6935156
0.132,0.799,0.069,6941400
0.805,0.175,0.02,7103395
0.07,0.73,0.2,6844930
0.341,0.658,0.001,6981613
0.382,0.614,0.004,6934604
0.989,0.011,0.0,6847722
0.901,0.076,0.023,7182222
0.866,0.116,0.018,6988536
0.922,0.068,0.01,7173026
0.146,0.195,0.659,6974883
0.0775,0.727,0.1955,7083958
0.193,0.784,0.023,6917898
0.04,0.129,0.831,6994990
0.969,0.026,0.005,6876775
0.8413999999999999,0.1416,0.017,7142669
0.893,0.079,0.028,7162793
0.218,0.738,0.044,6938683
0.884,0.088,0.028,7045172
0.2595,0.7035,0.037,6849526
0.927,0.064,0.009,7050301
0.972,0.027,0.001,7051803
0.224,0.754,0.022,6971823
0.95,0.043,0.007,6900110
0.113,0.8175,0.0695,7144445
0.181,0.756,0.063,6934015
0.981,0.018333333333333333,0.0006666666666666666,7188181
0.991,0.009,0.0,6935271
0.315,0.673,0.012,7204955
0.2,0.765,0.035,7032736
0.877,0.093,0.03,7044704
0.934,0.059,0.007,7204371
0.875,0.111,0.014,7131075
0.922,0.064,0.014,7066020
0.874,0.087,0.039,7211267
0.957,0.033,0.01,7142486
0.923,0.057,0.02,7037953
0.209,0.769,0.022,6833276
0.758,0.18458333333333335,0.057416666666666664,6895169
0.236,0.74325,0.02075,7067983
0.993,0.006,0.001,7055616
0.147,0.838,0.015,6958697
0.964,0.031,0.005,7205103
0.998,0.002,0.0,7128969
0.236,0.721,0.043,7008688
0.274,0.693,0.033,7225417
0.838,0.124,0.038,7158697
0.909,0.083,0.008,7224063
0.8,0.175,0.025,6832754
0.973,0.024,0.003,6924609
0.988,0.011,0.001,7229731
0.827,0.157,0.016,6881652
0.209,0.766,0.025,6987914
0.037,0.118,0.845,6936745
0.95,0.048,0.002,7081039
0.813,0.1188,0.0682,7150508
0.884,0.115,0.001,6959853
0.206,0.762,0.032,7154324
0.952,0.046,0.002,7218427
0.023,0.942,0.035,7167394
0.182,0.738,0.08,7113849
0.221,0.755,0.024,7093035
0.857,0.056,0.087,7062673
0.161,0.835,0.004,7000309
0.9505,0.0395,0.01,7224582
0.12,0.164,0.716,6894147
0.274,0.713,0.013,7113023
0.837,0.11,0.053,6876392
0.933,0.06,0.007,7224157
0.916,0.0695,0.0145,6863188
0.305,0.69,0.005,7102235
0.933,0.057,0.01,7143934
0.106,0.81,0.084,6970268
0.979,0.02,0.001,7071983
0.144,0.789,0.067,7072398
0.9225,0.062,0.0155,7224429
0.893,0.093,0.014,7035432
0.838,0.125,0.037,6996631
0.949,0.037,0.014,7019154
0.848,0.141,0.011,7036992
0.982,0.014,0.004,7106256
0.912,0.064,0.024,7601226
0.119,0.15,0.731,7001864
0.288,0.697,0.015,6988464
0.997,0.003,0.0,6937374
0.988,0.012,0.0,7138758
0.988,0.009,0.003,7123633
0.217,0.106,0.677,6840676
0.226,0.757,0.017,6844568
0.948,0.05,0.002,7083587
0.83,0.14083333333333334,0.029166666666666667,7187714
0.843,0.103,0.054,7184957
0.989,0.008,0.003,7046846
0.958,0.04,0.002,7065823
0.914,0.073,0.013,6822450
0.923,0.071,0.006,6970290
0.9336,0.052,0.0144,7019345
0.969,0.022,0.009,6822713
0.928,0.07,0.002,7000326
0.9465,0.0415,0.012,7143993
0.808,0.147,0.045,6919220
0.886,0.103,0.011,6932709
0.979,0.018,0.003,7083977
0.819,0.167,0.014,7220936
0.963,0.028,0.009,7220551
0.919,0.07,0.011,7028919
0.925,0.064,0.011,6866267
0.975,0.013,0.012,7013271
0.911,0.072,0.017,6906183
0.994,0.005,0.001,7168489
0.962,0.028,0.01,6866476
0.926,0.066,0.008,6861561
0.961,0.031,0.008,7081328
0.839,0.146,0.015,6825104
0.027,0.057,0.916,6930312
0.242,0.748,0.01,7227234
0.884,0.093,0.023,6912523
0.027,0.073,0.9,7024743
0.875,0.087,0.038,6880239
0.214,0.762,0.024,6927008
0.884,0.095,0.021,6829212
0.981,0.019,0.0,7167736
0.988,0.009,0.003,7114580
0.925,0.055,0.02,6853924
0.93,0.053,0.017,6964295
0.881,0.105,0.014,6896770
0.958,0.039,0.003,6825716
0.954,0.037,0.009,7225224
0.784,0.202,0.014,7170628
0.775,0.142,0.083,7208652
0.979,0.02,0.001,6951966
0.295,0.69,0.015,7014153
0.88,0.114,0.006,7189011
0.231,0.746,0.023,6831242
0.74,0.176,0.084,7001705
0.783,0.217,0.0,6826740
0.869,0.102,0.029,7231638
0.977,0.022,0.001,6879753
0.22,0.756,0.024,6840635
0.987,0.011,0.002,7004946
0.8959166666666667,0.07708333333333332,0.027,7005771
0.971,0.028,0.001,7148760
0.912,0.086,0.002,6911492
0.967,0.014,0.019,6934498
0.797,0.176,0.027,6849377
0.092,0.8605833333333333,0.04741666666666666,6943233
0.963,0.034,0.003,7037617
0.846,0.127,0.027,6861367
0.998,0.002,0.0,7009385
0.211,0.775,0.014,6948508
0.32183333333333336,0.6691666666666667,0.009,6938508
0.994,0.006,0.0,6936602
0.08,0.09533333333333333,0.8246666666666668,6832956
0.822,0.171,0.007,7017263
0.9643333333333333,0.03166666666666667,0.004,6930306
0.19,0.757,0.053,7080289
0.916,0.076,0.008,6921578
0.998,0.002,0.0,6888636
0.106,0.129,0.765,7056141
0.879,0.098,0.023,7072351
0.159,0.82,0.021,6815121
0.969,0.023,0.008,7089058
0.949,0.042,0.009,7082323
0.218,0.086,0.696,6918262
0.256,0.7296,0.0144,7074402
0.976,0.015,0.009,7014065
0.34,0.656,0.004,7018469
0.924,0.065,0.011,7124247
0.7575,0.1603,0.08220000000000001,7309872
0.996,0.003,0.001,6984417
0.96,0.034,0.006,7010613
0.938,0.054,0.008,7074586
0.157,0.771,0.072,7132582
0.995,0.005,0.0,6925850
0.961,0.034,0.005,6882158
0.8143333333333334,0.14533333333333334,0.04033333333333334,7080230
0.921,0.076,0.003,6859496
0.238,0.09,0.672,7132755
0.211,0.763,0.026,6979621
0.807,0.152,0.041,6833430
0.888,0.078,0.034,7212007
0.987,0.012,0.001,7212876
0.897,0.088,0.015,7141603
0.991,0.008,0.001,7128129
0.921,0.064,0.015,6826235
0.966,0.028,0.006,6890498
0.178,0.758,0.064,7051863
0.235,0.751,0.014,6869364
0.9846666666666666,0.011333333333333334,0.004,7144860
0.923,0.056,0.021,7071163
0.887,0.094,0.019,7195094
0.907,0.08,0.013,7003934
0.089,0.848,0.063,6845248
0.837,0.14,0.023,6848131
0.141,0.8289166666666667,0.030083333333333337,6975529
0.775,0.165,0.06,6896185
0.978,0.018,0.004,7166486
0.181,0.777,0.042,6906400
0.861,0.123,0.016,7223218
0.171,0.807,0.022,6825563
0.852,0.085,0.063,7052462
0.139,0.768,0.093,7164045
0.989,0.007,0.004,6998871
0.977,0.016,0.007,6881197
0.859,0.114,0.027,6964787
0.949,0.043,0.008,6895809
0.825,0.144,0.031,6953363
0.697,0.287,0.016,7140537
0.995,0.005,0.0,6875254
0.813,0.135,0.052,7184923
0.88,0.1,0.02,7170302
0.8311666666666666,0.1438333333333333,0.025,7105055
0.909,0.077,0.014,7186506
0.264,0.72,0.016,7137687
0.858,0.107,0.035,7541383
0.8691666666666668,0.09083333333333335,0.04,6946967
0.9527142857142856,0.04128571428571429,0.006,7208082
0.888,0.105,0.007,6954417
0.932,0.062,0.006,7175472
0.48688571428571403,0.073,0.44011428571428585,7111221
0.221,0.755,0.024,7104637
0.933,0.053,0.014,7102288
0.975,0.018,0.007,7107859
0.229,0.756,0.015,7118452
0.202,0.752,0.046,7196053
0.286,0.706,0.008,7167512
0.99,0.008,0.002,7094701
0.967,0.032,0.001,6908017
0.969,0.025,0.006,6812223
0.97,0.025,0.005,7012666
0.094,0.745,0.161,6814921
0.996,0.004,0.0,7009610
0.284,0.691,0.025,7081756
0.9174,0.066,0.0166,6886946
0.8776,0.092,0.0304,6880528
0.956,0.039,0.005,6899935
0.209,0.748,0.043,6958499
0.784,0.167,0.049,6831859
0.084,0.716,0.2,6887828
0.871,0.101,0.028,7024998
0.998,0.002,0.0,6924542
